vehicle,file,sample_index,sample_info,n_nodes,n_hard_only_material_nodes,hard_only_material_frac,n_hard_only_vectors_in_sample,hard_only_material_ids_in_sample,hard_only_min_dist_to_hic,hard_only_mean_dist_to_hic,hard_only_median_dist_to_hic,hard_only_top32_nearest_frac,hard_only_nodes_within_60,hard_only_nodes_within_150,hard_only_nodes_within_400,hard_only_frac_within_60,hard_only_frac_within_150,hard_only_frac_within_400
C201,batch_3.feather,14,A_13_2,69067,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_3.feather,15,A_13_3,68882,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_3.feather,16,A_13_4,69973,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_3.feather,17,A_13_5,71433,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_3.feather,18,A_13_6,72346,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_3.feather,19,A_13_7,65662,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_3.feather,20,A_14_6,63429,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_3.feather,21,C_3__1,50407,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_3.feather,22,A_14_7,56291,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_3.feather,23,A_14_9,43615,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_3.feather,24,A_15_9,34993,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_3.feather,25,C_3__2,51734,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_3.feather,26,C_3__3,50783,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_3.feather,27,C_3__4,52353,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_3.feather,28,C_3__5,54767,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_3.feather,29,C_3__6,53374,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_3.feather,30,C_3__7,47074,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_3.feather,31,C_3__8,42934,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_3.feather,32,C_4__1,44553,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_3.feather,33,C_6_0,57668,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_3.feather,34,C_4__2,47014,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_3.feather,35,C_4__3,46350,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_3.feather,36,C_4__4,47132,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
