vehicle,group,file,sample_index,sample_info,n_nodes,bbox_x,bbox_y,bbox_z,bbox_diag,hic_rel_x,hic_rel_y,hic_rel_z,hic_center_dist_norm,hic_value,age_group,age_label
EP32,normal,batch_4.feather,8,C_5__1,36574,588.6026763916016,597.9775238037109,330.6053161621094,901.8481605594272,0.49054399512422253,0.4996876806463571,0.8665016571365598,0.13449637231626668,626.84,0,Child
EP32,normal,batch_4.feather,9,C_5__2,41529,590.9111785888672,599.3096542358398,337.9468688964844,906.9488237152653,0.492885463500564,0.5000376116770069,0.8646936858068747,0.13597103736461105,627.28,0,Child
EP32,normal,batch_4.feather,10,C_5__3,46427,589.1862030029297,595.1401686668396,346.81092834472656,906.4270639103485,0.4915795715582315,0.5027403702807314,0.8613382970397304,0.13837278950947254,689.42,0,Child
EP32,normal,batch_4.feather,11,C_5__4,50868,589.2761840820312,596.4519729614258,338.57521057128906,904.2314694751836,0.4928427426099734,0.501827665324125,0.8803701838477561,0.14250507106399432,646.68,0,Child
EP32,normal,batch_4.feather,12,C_5__5,61963,590.6108245849609,596.0942993164062,343.81578063964844,906.8400359552371,0.4926579540477338,0.4989108074337516,0.8714007293539008,0.14089440505668613,692.77,0,Child
EP32,normal,batch_4.feather,13,C_5__6,68961,590.8558197021484,583.575439453125,346.14923095703125,899.7167239197846,0.49502345971293465,0.48608620165880784,0.8653716646118591,0.1408972464106676,637.35,0,Child
EP32,normal,batch_4.feather,14,C_5__7,66596,586.5198669433594,525.5467834472656,341.1058349609375,858.2296700507513,0.49184509166430224,0.4313757347945924,0.8752474341618177,0.15505052004620082,684.91,0,Child
EP32,normal,batch_4.feather,15,C_5__8,72841,587.22265625,433.88128662109375,364.50132751464844,816.0543098674391,0.49133996516801265,0.3143762631436969,0.7953990393017137,0.16488867600072185,1795.79,0,Child
EP32,normal,batch_4.feather,16,C_3_0,32649,578.5844757556915,598.626220703125,345.1956481933594,901.2621057330816,0.4870247069231435,0.4997693184139994,0.8390464321013837,0.13012636659291438,484.57,0,Child
EP32,normal,batch_4.feather,17,C_6__1,47556,593.2958374023438,596.7132720947266,339.39149475097656,907.3330515760161,0.49503532460621796,0.5023956686478124,0.8805238472400903,0.14238217408243467,638.05,0,Child
EP32,normal,batch_4.feather,18,C_6__2,47737,588.3402709960938,596.6043243408203,341.7639923095703,904.9218865389984,0.49651300546173327,0.5013830383208285,0.872916427425403,0.14086142704128027,694.46,0,Child
EP32,normal,batch_4.feather,19,C_6__3,49544,590.4827575683594,595.5415315628052,336.92771911621094,903.8030154356412,0.49695485420865493,0.5030733514546225,0.8582324819459333,0.13357525837996298,697.4,0,Child
EP32,normal,batch_4.feather,20,C_6__4,54144,593.3834533691406,598.1467437744141,323.4379119873047,902.4940624352766,0.4960004431105917,0.5011103912924708,0.867858956410374,0.13186242267968099,613.47,0,Child
EP32,normal,batch_4.feather,21,C_6__5,59929,591.01904296875,595.43701171875,329.20106506347656,901.2336463510333,0.4948214815263511,0.4989223669506313,0.8965737074492834,0.14490130776546506,691.97,0,Child
EP32,normal,batch_4.feather,22,C_6__6,67742,594.3403625488281,584.7096862792969,335.58445739746094,898.7451317421722,0.49574419142960263,0.48764277769349745,0.890190213043959,0.14594277575112474,698.9,0,Child
EP32,normal,batch_4.feather,23,C_6__7,63178,592.7199096679688,527.8792419433594,326.826904296875,858.3642646125126,0.49701142493186107,0.4328561731821374,0.8915361384760115,0.15470623732417127,914.54,0,Child
EP32,normal,batch_4.feather,24,C_6__8,64318,592.7980651855469,434.4523010253906,336.90985107421875,808.4965032112611,0.49425825233877696,0.31690937418863363,0.7969669222078002,0.1581497265552753,1403.47,0,Child
EP32,normal,batch_4.feather,25,C_7__1,56051,595.2138977050781,598.7128295898438,319.3362350463867,902.6141298197971,0.4969249961296168,0.4994115794593704,0.8735476674908254,0.13217371924192217,584.77,0,Child
EP32,normal,batch_4.feather,26,C_7__2,54036,594.585205078125,597.5103225708008,320.4509048461914,901.7976126011873,0.49699080363503606,0.5020311778707249,0.8664015303139996,0.13022168580010277,605.17,0,Child
EP32,normal,batch_4.feather,27,C_4_0,26396,585.8391952514648,598.0404357910156,293.5716323852539,887.1551323614909,0.4904333582445073,0.5002173592473715,0.8326816079574526,0.1102700526947402,519.49,0,Child
EP32,normal,batch_4.feather,28,C_7__3,54157,595.0787048339844,597.5058450698853,317.3540954589844,901.0247065115142,0.4961941777104272,0.5016712863098939,0.8910660377739963,0.137766575364787,661.47,0,Child
